1,banana,바나나
2,apple,사과
3,mouse,쥐
4,boy,소년
5,money,돈
6,April,4월
7,abandon,버리다
8,able,할 수 있는
9,aboard,배로
10,abort,유산하다
11,about,에 대하여
12,above,다 위에
13,abroad,외국으로
14,absent,부재의
15,absolute,절대의
16,absorb,흡수하다
17,abstract,추상적인
18,absurd,불합리한
19,abundant,풍부한
20,abuse,남용
21,academy,학술원
22,accelerate,가속하다 속도가 가해지다
23,accent,액센트
24,accept,받아들이다
25,access,접근
26,accident,뜻밖의 사건
27,accommodate,수용하다
28,accompany,동반하다
29,accomplish,이루다
30,accord,일치하다
31,account,설명하다 계산
32,accumulate,축적하다
33,accurate,정확한
34,accuse,고발하다
35,achieve,성취하다
36,acid,산 신
37,acknowledge,인정하다
38,acquaint,알리다
39,acquire,얻다
40,acquisition,획득
41,across,가로질러
42,act,vi행동하다
43,activate,활동적으로 하다
44,actual,현실의
45,acute,날카로운
46,adapt,적용시키다
47,add,추가하다
48,addict,열중하게 하다
49,address,말을 걸다
50,adequate,충분한
51,adjust,맞추다
52,administer,관리하다
53,admire,감복하다
54,admission,입장
55,admit,받아들이다
56,adolescent,청년기의
57,adopt,채용하다
58,adult,성인
59,advance,나아가다
60,advantage,유리한 입장
61,adventure,모험 모험하다
62,adverse,거꾸로의
63,advertize,광고하다
64,advise,충고하다
65,advocate,변호사
66,aesthetic,미적인
67,affair,일
68,affect,영향을 주다
69,affection,애정
70,affiliate,회원으로 가입시키다
71,afford,여유가 있다
72,afraid,두려워하여
73,after,후에
74,afternoon,오후
75,again,다시
76,against,…에 반대하여
77,age,연령
78,agency,기능
79,agenda,안건
80,agent,대리인
81,aggressive,침략적인
82,ago,이전에
83,agree,동의하다
84,agriculture,농업
85,ahead,전방에
86,aid,도와 주다
87,aim,겨누다
88,air,공기
89,airplane,비행기
90,aircraft,항공기
91,airline,정기항공
